student_id,gender,course,study_hours_weekly,attendance_rate,midterm_score,final_score,passed
STU-030,M,Database Systems,11.2,83.4,70.7,69.0,Yes
STU-031,M,Database Systems,24.1,94.2,100.0,100.0,Yes
STU-032,F,Linear Algebra,21.0,67.7,92.2,94.9,Yes
STU-033,M,Database Systems,11.9,70.6,78.7,69.6,Yes
STU-034,M,Machine Learning,5.5,71.8,62.5,53.2,No
STU-035,M,Data Structures,23.8,62.1,89.4,98.8,Yes
STU-036,F,Linear Algebra,17.6,70.6,75.3,85.4,Yes
STU-037,F,Machine Learning,14.5,96.2,80.9,99.6,Yes
STU-038,F,Linear Algebra,4.4,86.4,59.1,51.8,No
STU-039,F,Machine Learning,25.0,65.7,100.0,97.0,Yes
STU-040,M,Machine Learning,13.7,96.0,87.8,83.0,Yes
STU-041,M,Database Systems,10.7,75.5,68.4,67.6,Yes
STU-042,M,Data Structures,7.5,76.6,56.9,62.3,Yes
STU-043,F,Database Systems,8.2,70.8,66.8,69.8,Yes
STU-044,F,Linear Algebra,14.5,95.1,83.5,94.1,Yes
STU-045,F,Linear Algebra,16.9,82.3,85.6,83.7,Yes
STU-046,M,Database Systems,12.5,91.7,82.5,87.2,Yes
STU-047,F,Data Structures,7.2,65.4,71.4,55.3,No
STU-048,M,Machine Learning,23.1,62.9,90.7,96.4,Yes
STU-049,M,Database Systems,4.9,97.7,62.9,53.1,No
STU-050,M,Data Structures,23.5,72.2,92.2,100.0,Yes
STU-051,M,Data Structures,14.8,89.9,82.8,81.3,Yes
STU-052,F,Linear Algebra,14.7,96.8,80.9,89.9,Yes
STU-053,F,Data Structures,22.2,71.5,83.0,95.8,Yes
STU-054,M,Database Systems,6.6,97.1,63.2,71.8,Yes
STU-055,F,Database Systems,10.1,68.5,67.9,65.0,Yes
STU-056,M,Data Structures,19.5,91.2,92.7,100.0,Yes
STU-057,F,Database Systems,22.4,65.6,91.4,94.3,Yes
STU-058,M,Machine Learning,4.7,65.9,42.8,48.4,No
STU-059,F,Database Systems,5.2,64.6,53.9,47.8,No
STU-060,M,Database Systems,13.2,92.5,80.2,87.1,Yes
STU-061,M,Database Systems,18.1,63.6,84.7,85.8,Yes
STU-062,F,Database Systems,20.5,92.6,95.5,100.0,Yes
STU-063,M,Linear Algebra,8.9,82.3,77.9,71.9,Yes
STU-064,M,Machine Learning,24.5,82.2,96.8,100.0,Yes
STU-065,M,Machine Learning,16.7,74.0,80.5,84.1,Yes
STU-066,M,Machine Learning,17.6,63.2,77.9,75.1,Yes
STU-067,F,Data Structures,19.4,98.3,88.4,98.7,Yes
STU-068,F,Linear Algebra,8.3,74.3,64.6,59.1,No
STU-069,F,Data Structures,4.6,89.1,61.9,49.1,No
STU-070,M,Machine Learning,11.7,64.0,74.4,70.0,Yes
STU-071,F,Database Systems,22.7,62.9,92.9,98.2,Yes
STU-072,F,Machine Learning,12.6,84.8,69.3,75.1,Yes
STU-073,M,Linear Algebra,24.5,73.2,98.1,98.5,Yes
STU-074,M,Linear Algebra,24.1,60.2,94.9,93.5,Yes
STU-075,F,Linear Algebra,21.2,95.4,91.3,100.0,Yes
STU-076,F,Machine Learning,4.0,68.4,61.4,47.7,No
STU-077,M,Machine Learning,7.7,70.7,66.7,70.8,Yes
STU-078,F,Data Structures,22.3,64.9,85.5,92.2,Yes
STU-079,F,Data Structures,22.4,72.5,84.5,93.7,Yes
STU-080,F,Linear Algebra,10.5,95.2,75.6,81.0,Yes
STU-081,F,Data Structures,5.4,92.0,66.4,63.3,Yes
STU-082,M,Database Systems,22.8,62.5,86.5,92.9,Yes
STU-083,M,Machine Learning,5.6,93.2,65.3,69.4,Yes
STU-084,F,Linear Algebra,8.4,61.4,64.0,54.3,No
STU-085,F,Linear Algebra,20.7,95.3,91.6,99.5,Yes
STU-086,F,Data Structures,24.5,86.3,100.0,100.0,Yes
STU-087,M,Database Systems,20.4,86.5,89.8,100.0,Yes
STU-088,F,Machine Learning,12.6,67.4,63.2,66.8,Yes
STU-089,F,Linear Algebra,22.7,84.2,100.0,100.0,Yes
STU-090,F,Database Systems,23.1,69.9,94.1,94.2,Yes
STU-091,M,Data Structures,10.2,90.1,66.7,77.9,Yes
STU-092,M,Linear Algebra,7.6,75.0,57.7,56.3,No
STU-093,F,Linear Algebra,17.9,96.2,96.5,98.7,Yes
STU-094,M,Data Structures,24.5,80.3,96.1,98.4,Yes
STU-095,M,Database Systems,22.5,91.8,93.2,100.0,Yes
STU-096,F,Data Structures,11.1,79.2,71.7,80.5,Yes
STU-097,M,Data Structures,11.7,61.6,71.2,73.8,Yes
STU-098,M,Machine Learning,20.2,95.2,86.7,99.2,Yes
STU-099,M,Data Structures,13.9,71.1,80.0,77.9,Yes
STU-100,F,Linear Algebra,5.4,89.9,66.4,59.8,No
STU-101,F,Machine Learning,22.2,87.9,100.0,100.0,Yes
STU-102,M,Database Systems,4.8,98.9,58.5,68.2,Yes
STU-103,M,Linear Algebra,18.0,61.3,83.2,88.0,Yes
STU-104,M,Database Systems,17.4,60.6,88.8,81.2,Yes
STU-105,F,Data Structures,15.4,87.0,76.9,91.9,Yes
STU-106,M,Machine Learning,24.5,60.4,86.9,97.4,Yes
STU-107,M,Machine Learning,20.8,67.3,87.8,100.0,Yes
STU-108,M,Machine Learning,12.3,74.4,74.1,73.2,Yes
STU-109,M,Linear Algebra,18.5,74.7,88.1,100.0,Yes
STU-110,F,Machine Learning,23.5,77.5,93.9,100.0,Yes
STU-111,M,Database Systems,23.7,97.9,94.4,100.0,Yes
STU-112,M,Database Systems,11.3,73.3,70.1,71.4,Yes
STU-113,F,Database Systems,4.7,68.2,53.1,57.7,No
STU-114,M,Data Structures,16.7,74.4,70.9,78.6,Yes
STU-115,M,Data Structures,8.4,69.6,59.2,60.2,Yes
STU-116,M,Database Systems,8.1,79.3,61.6,69.1,Yes
STU-117,M,Machine Learning,13.2,96.5,84.7,89.0,Yes
STU-118,F,Data Structures,23.0,84.4,93.5,100.0,Yes
STU-119,M,Data Structures,20.3,66.4,80.4,91.6,Yes
STU-120,M,Machine Learning,20.3,67.0,74.9,85.2,Yes
STU-121,F,Data Structures,16.2,81.9,76.8,90.1,Yes
STU-122,M,Linear Algebra,11.2,83.5,80.8,87.6,Yes
STU-123,F,Database Systems,7.2,78.2,57.7,54.9,No
STU-124,F,Linear Algebra,8.0,83.8,66.1,61.7,Yes
STU-125,F,Database Systems,4.5,66.3,50.2,54.5,No
STU-126,M,Linear Algebra,4.8,69.7,54.3,53.0,No
STU-127,F,Machine Learning,7.6,99.2,63.2,67.7,Yes
STU-128,F,Database Systems,12.7,66.2,68.8,67.5,Yes
STU-129,M,Data Structures,19.5,98.3,90.3,97.8,Yes
STU-130,M,Data Structures,23.2,65.7,92.2,100.0,Yes
STU-131,F,Data Structures,24.8,83.5,100.0,100.0,Yes
STU-132,F,Linear Algebra,14.5,89.8,86.8,91.7,Yes
STU-133,F,Linear Algebra,19.1,85.1,87.0,91.5,Yes
STU-134,M,Database Systems,23.3,99.8,100.0,100.0,Yes
STU-135,F,Linear Algebra,9.0,66.1,63.7,64.6,Yes
STU-136,F,Linear Algebra,14.8,99.1,89.4,94.5,Yes
STU-137,M,Database Systems,15.4,63.8,73.9,76.8,Yes
STU-138,F,Linear Algebra,6.7,92.5,65.1,56.2,No
STU-139,M,Database Systems,14.1,74.0,77.5,75.7,Yes
STU-140,M,Database Systems,9.6,81.1,74.2,75.6,Yes
STU-141,M,Data Structures,21.5,77.9,93.5,100.0,Yes
STU-142,F,Linear Algebra,19.1,90.2,93.3,91.9,Yes
STU-143,M,Linear Algebra,11.8,66.4,73.3,70.3,Yes
STU-144,F,Data Structures,18.4,60.2,92.5,81.4,Yes
STU-145,M,Machine Learning,7.3,84.0,57.4,64.0,Yes
STU-146,F,Database Systems,17.7,73.5,84.1,87.4,Yes
STU-147,F,Data Structures,6.8,70.8,52.4,54.8,No
STU-148,M,Machine Learning,15.1,66.9,74.4,82.0,Yes
STU-149,M,Data Structures,12.0,76.8,79.6,75.2,Yes
STU-150,F,Database Systems,5.6,89.6,56.4,62.3,Yes
